smiles,IE
C=C(C)C,9.22
FC(F)=C(F)F,10.14
FC(F)=C(F)C(F)(F)F,10.6
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,9
CSCC(N)C(=O)O,8.4
CC=NCC,9.29
O=C1CCC1,9.35
CCC1CC1,8.96
[N-]=[N+]=C1C=CC=C1,8.09
ON=C1CCCC1,8.92
C=C1CCCCC1,8.93
CC1(C)CCCNC1,8.05
CS(=O)c1ccccc1,8.5
C=C1CCc2ccccc21,8
CC12CCC(C1)C(C)(C)C2=O,8.5
O=C(c1ccccc1)c1ccccc1,9.08
c1ccc2c(c1)CCCC2,8.46
c1ccc2cnccc2c1,8.53
CN(C)c1ccc(C#N)cc1,7.6
c1ccc2cc3ccccc3cc2c1,7.44
[C+]#[C-],11.4
c1ccc2[nH]ccc2c1,7.76
O=C1CCCC1,9.26
N#Cc1c2ccccc2cc2ccccc12,7.8
CCN(CC)CC,7.53
COP(OC)OC,8.4
C1=CC2C=CC1C2,8.38
CN(C)c1ccccc1,7.12
c1ccc(Nc2ccccc2)cc1,7.19
CCOP(OCC)OCC,8.3
CC(=O)C=Cc1ccccc1,8.8
CCCC(=O)CCC,9.1
[C]#P,10.5
Oc1ccc(O)cc1,7.94
CCC=O,9.96
CN=CO,9.83
CC(=O)CC(C)=O,8.85
CCCC=O,9.82
C1COCCO1,9.19
CCCCCCCCCC,9.65
O=C=O,13.78
CNC,8.24
ClC(Br)Br,10.59
ClC(Cl)=C(Cl)Cl,9.33
O=S(=O)(c1ccccc1)c1ccccc1,9.16
c1cc2ccc3cccc4ccc(c1)c2c34,7.43
O=C1C=CC(=O)c2ccccc21,9.5
CNc1c(C)cc(C)cc1C,7.22
Cc1cc(C)c(N(C)C)c(C)c1,7.24
C(#Cc1ccccc1)C=Cc1ccccc1,7.5
CC=CCC(C)C,8.92
CC1CCCCCC1C,10.31
CC1CCCCCC1C,10.21
CC1CCCCC(C)C1,10.41
O=S1CCC1,8.5
[O-][n+]1ccccc1O,8.9
O=S=Nc1ccc(Cl)cc1,8.8
C=C=COC,8.64
CC#COC,8.79
C[Si](C)(C)c1ccc([Si](C)(C)C)cc1,8.45
CC=C(C)C(=O)O,9.5
COCCCO,9.3
CC1(C)C(=O)C2CCC1C2,8.6
CCC=CCC,8.96
CC[SiH](CC)c1ccco1,8.1
O=CCCc1ccccc1,8.7
CC=CCCCCC,8.91
CN1CCN=C1S,7.7
[CH-]=[F+],10.06
BrC12CCC(CC1)C2,9.6
Oc1ccc2ccccc2c1,7.87
c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,6.63
CCCS(=O)(=O)c1ccccc1,9.21
CCC(C)c1ccccc1,8.68
COc1ccc(OC)c(CC(C)N)c1,7.1
C=C=CC(C)C,9.06
C[Si]1(C)c2ccccc2-c2ccccc21,7.4
CC(C)(C)P(Cl)C(C)(C)C,8
CC(C)(C)c1c2ccccc2cc2ccccc12,7.13
CCOc1ccnc2ccccc12,8.1
C=CC#CCC,8.91
CC#CC#N,10.78
[O-][N+](F)(F)F,13.31
O=C=NCl,10.72
C1=CN2CCC1CC2,8.02
CCC=CN1CCCC1,6.7
c1ccc2c(c1)C1CC2C1,8.26
c1ccc(Sc2ccccc2)cc1,7.85
CCCC(C)OO,9.35
N#CCc1ccccc1,9.39
NCCO,8.96
Nc1cccc[n+]1[O-],8.04
CC1(c2ccccc2)CC1c1ccccc1,7.9
CC1(c2ccccc2)CC1c1ccccc1,7.9
CCOC(C)=O,10.01
CC(=O)C=C(C)C,9.1
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,7.6
CCc1cccc(CC)c1,8.49
Oc1ccccn1,8.45
ClCCCCl,10.89
C1=CCCC1,9.01
C#CC(C)=O,10.17
C1CCOCC1,9.25
C#CC(=CC)CC,8.7
CCCCCCC,9.93
C=C1CCC1=C,8.4
C=C[CH]C=C,7.25
Br[CH]Br,8.3
CN1CC2(C)CN(C)P1N(C)C2,6.8
CC1CC(C)CN(C)C1,7.63
CCC1C2CC3CC(C2)CC1C3,9.2
COC(C)(OC)OC,9.65
CN1CCC(=O)CC1,8.3
CC12COP(OC1)OC2,9.2
C[Si](C)(C)[Si](C)(C)C,8.27
c1ccc2cc3c(cc2c1)cc1c2cccc4c5cc6ccccc6cc5c5ccc6ccc3c1c6c5c42,6.72
CCC1=CCCCC1,8.48
O=C(c1ccccc1)c1ccncc1,9.6
C=CCC1C=CCC1,8.89
[O-][n+]1ccccn1,8.89
CC(C)(C)c1ccc(C(C)(C)C)c(C(C)(C)C)c1,8.6
c1cc2c3c(cccc3c1)C1C2C2c3cccc4cccc(c34)C12,7.48
CN(C)C#N,9
CC(=O)c1ccsc1,9.32
c1ccc2c3ccc(c2c1)CCc1ccc(c2ccccc12)CC3,7
C1=CC2(CC1)CCC2,8.65
CN1CC2CC(C1)CN(C)C2,6.8
CCC=CCCCC,8.85
CCCC=CCCC,8.84
C1=CCCCCCCCCCC1,8.74
Fc1cccc(F)c1F,9.7
COc1ccc[n+]([O-])c1,8.4
CCC=CCCCC,8.85
Cc1ccoc1C,8.25
COC(OC)OC,9.5
NC(Cc1ccccc1)C(=O)O,8.4
c1cc2c3c(cccc3c1)C1C2C2c3cccc4cccc(c34)C12,7.58
COc1ccc(OC)cc1,7.56
